name,address,type,price_level,rating
"SILBER, PERLMAN, SIGMAN & TILEV","6930 Carroll Ave #610, Takoma Park, MD 20912, USA",lawyer,NA,5
"The Law Offices of Julio C. Hernandez, PC","7676 New Hampshire Ave #425, Takoma Park, MD 20912, USA",lawyer,NA,4.1
"Antezana & Antezana, LLC.","7676 New Hampshire Ave Suite 315, Takoma Park, MD 20912, USA",lawyer,NA,4.6
Alison Brown Law Office,"6930 Carroll Ave # 400, Takoma Park, MD 20912, USA",lawyer,NA,NA
"Wilkes Legal, LLC","7050 Carroll Ave Suite 202, Takoma Park, MD 20912, USA",lawyer,NA,4.2
Law Offices of Mark J. Shmueli,"6930 Carroll Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
"Law Offices of Ricky Malik, P.C.","7505 New Hampshire Ave # 318, Takoma Park, MD 20912, USA",lawyer,NA,5
"Stein Legal, LLC","1358 Holton Ln, Takoma Park, MD 20912, USA",lawyer,NA,4.6
Slatkin & Associates,"7676 New Hampshire Ave, Takoma Park, MD 20912, USA",lawyer,NA,3.7
Law Offices of Jeffrey B. Henry,"7676 New Hampshire Ave Suite 103, Takoma Park, MD 20912, USA",lawyer,NA,3.4
John B Dunn Law Offices,"906 Heather Ave, Takoma Park, MD 20912, USA",lawyer,NA,5
Lombardo Carmyn J,"7505 New Hampshire Ave # 312, Takoma Park, MD 20912, USA",lawyer,NA,NA
Thomas J. Gagliardo Attorney,"107 Hodges Ln, Takoma Park, MD 20912, USA",lawyer,NA,NA
"The Law Office of Randy Evan McDonald, LLC","6930 Carroll Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Tilev Melody,"7700 Carroll Ave, Takoma Park, MD 20912, USA",lawyer,NA,5
Law Office of Michael W. Richards LC,"7008 Westmoreland Ave suite e8, Takoma Park, MD 20912, USA",lawyer,NA,NA
Larry J Silverman Law Office,"7308 Birch Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Walter Judith,"6930 Carroll Ave # 610, Takoma Park, MD 20912, USA",lawyer,NA,NA
Anthony J Patrick,"505 Boston Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Strongin Andrew,"7002 Poplar Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Law Offices of Ron Earnest,"7000 Carroll Ave # 200, Takoma Park, MD 20912, USA",lawyer,NA,NA
Center For Immigration Law,"6480 New Hampshire Ave NE # 100, Takoma Park, MD 20912, USA",lawyer,NA,NA
Miriam Z Seddiq Esq,"6411 Orchard Ave, Takoma Park, MD 20912, USA",lawyer,NA,5
Cella & Associates LLC,"6501 Poplar Ave # 103, Takoma Park, MD 20912, USA",lawyer,NA,NA
Law Office of Linda Cornelius,"7505 New Hampshire Ave #308, Takoma Park, MD 20912, USA",lawyer,NA,5
Edward M.Kimmel Attoeny at Law,"7629 Carroll Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Shapiro David P,"7505 New Hampshire Ave # 209, Takoma Park, MD 20912, USA",lawyer,NA,NA
Abogado Cristóbal Japp,"1015 University Blvd E, Takoma Park, MD 20912, USA",lawyer,NA,5
Goldstein Deut Jolie,"7505 New Hampshire Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Snyder Stuart J,"7676 New Hampshire Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Johnson Henry E,"7710 Maple Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Silver Perlman Sigman Tilev: Perlman Linda,"7700 Carroll Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Kevin Tabepc Law Offices,"7676 New Hampshire Ave, Takoma Park, MD 20912, USA",lawyer,NA,5
Greenfeig Stuart S,"7505 New Hampshire Ave # 209, Takoma Park, MD 20912, USA",lawyer,NA,NA
Hoch Heather D,"7505 New Hampshire Ave # 209, Takoma Park, MD 20912, USA",lawyer,NA,NA
Fay Kevin,"7505 New Hampshire Ave # 209, Takoma Park, MD 20912, USA",lawyer,NA,NA
Scott William J,"7505 New Hampshire Ave # 209, Takoma Park, MD 20912, USA",lawyer,NA,NA
Metro A Howard,"7505 New Hampshire Ave # 209, Takoma Park, MD 20912, USA",lawyer,NA,NA
Schwaber Jeffrey M,"7505 New Hampshire Ave # 209, Takoma Park, MD 20912, USA",lawyer,NA,NA
Dean Danell P,"7505 New Hampshire Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Conwell Edward,"8218 Roanoke Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Law Office of Zachary E. Nahass,"8308 Flower Ave, Takoma Park, MD 20912, USA",lawyer,NA,NA
Patrick J Cole LLC,"440 E Diamond Ave, Gaithersburg, MD 20877, USA",lawyer,NA,5
Hill G Arden,"7600 Georgia Ave NW # 207, Washington, DC 20012, USA",lawyer,NA,NA
Brown III Roosevelt F,"7600 Georgia Ave NW # 203, Washington, DC 20012, USA",lawyer,NA,NA
Marilyn Gordon Law Office,"7603 Georgia Ave NW, Washington, DC 20012, USA",lawyer,NA,NA
T Clarence Harper & Associates,"7600 Georgia Ave NW, Washington, DC 20012, USA",lawyer,NA,NA
"Law Office Of John F. Pressley, Jr.","7600 Georgia Ave NW # 412, Washington, DC 20012, USA",lawyer,NA,NA
Sloan & Associates Pc,"7600 Georgia Ave NW # 208, Washington, DC 20012, USA",lawyer,NA,NA
Ubom Law Group,"7600 Georgia Ave NW # 411, Washington, DC 20012, USA",lawyer,NA,5
Avery Daryl L,"7603 Georgia Ave NW, Washington, DC 20012, USA",lawyer,NA,NA
Peter Nang & Associates Law Office,"7600 Georgia Ave NW, Washington, DC 20012, USA",lawyer,NA,NA
Rams Fast Tax Service,"7487 New Hampshire Ave, Takoma Park, MD 20912, USA",lawyer,NA,4.8
Whitaker Barbara G,"635 Dahlia St NW, Washington, DC 20012, USA",lawyer,NA,NA
"Blue Note Title, Inc.","6930 Carroll Ave #500, Takoma Park, MD 20912, USA",lawyer,NA,NA
Immigration Law Practice,"6495 New Hampshire Ave NE #250, Hyattsville, MD 20783, USA",lawyer,NA,3.7
